Bonbon, gemiddeld;461,0;1931,0;5,5;3,5;70,0;68,0;18,0;12,0;3,0;1,0;10,0;2,0
Borrelnootjes;540,0;2262,0;0,8;15,0;46,0;4,5;32,0;7,0;14,0;12,0;0,0;5,2
Borstplaat, room;349,0;1460,0;15,3;0,7;80,0;78,5;2,9;1,5;0,0;0,0;0,0;0,1
Bosbessen, blauwe bosbes;75,0;316,0;77,1;0,6;14,5;14,0;0,2;0,0;0,0;0,0;0,0;6,6
Bossche bol;292,0;1226,0;40,2;5,3;38,1;24,0;12,6;7,9;3,5;0,8;110,0;2,8
Bot, bereid;102,0;431,0;76,0;21,0;0,0;0,0;2,0;0,6;0,7;0,4;90,0;0,0
Boter, halfvol;343,0;1437,0;58,0;2,8;1,2;1,1;37,0;22,5;11,0;1,5;100,0;0,0
Boter, ongezouten;735,0;3076,0;14,1;0,7;0,7;0,7;82,5;54,0;23,5;3,5;240,0;0,0
Boterhamworst;308,0;1291,0;56,0;12,1;2,9;0,1;28,0;9,9;12,5;2,3;60,0;0,0
Boterkoek;516,0;2162,0;8,0;4,5;55,0;32,0;31,0;10,0;10,5;6,5;70,0;0,5
Botervis;287,0;1202,0;56,5;18,5;0,0;0,0;24,0;1,0;20,0;2,5;85,0;0,0
Bouillon, bereid;6,0;28,0;97,9;0,5;0,1;0,0;0,5;0,3;0,2;0,0;0,1;0,0
Bouillonpoeder, blokjes;237,0;996,0;54,0;16,0;16,0;0,0;12,0;6,5;2,0;0,4;3,2;1,0
Bouillonpoeder, kruid;180,0;756,0;59,7;18,0;15,0;0,0;5,0;2,2;2,0;0,4;0,0;1,3
Boursin kaas;410,0;1718,0;46,8;8,4;1,5;1,0;41,8;25,4;12,6;1,8;105,0;0,5
Braadworst;313,0;1312,0;50,6;22,4;1,5;0,0;24,5;8,1;10,0;3,0;40,0;0,0
Bramen;58,0;243,0;83,1;1,2;8,5;6,8;1,0;0,1;0,1;0,6;0,0;5,2
Brandewijn;218,0;913,0;68,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Brasem;115,0;484,0;77,0;16,5;0,0;0,0;5,5;1,6;1,6;1,2;110,0;0,0
Brie;338,0;1418,0;48,5;22,5;0,0;0,0;28,0;18,0;8,0;1,0;100,0;0,0
Brinta naturel;347,0;1453,0;10,4;11,0;65,0;4,0;2,1;0,5;0,2;0,6;0,0;10,5
Broccoli;29,0;125,0;90,0;3,3;2,0;1,5;0,2;0,0;0,0;0,0;0,0;3,5
Broccoli, bereid;29,0;124,0;89,6;3,2;2,0;2,0;0,1;0,0;0,0;0,0;0,0;4,1
Bronwater;0,0;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Brood, bruin;256,0;1076,0;37,0;7,0;45,6;2,9;3,7;1,3;1,4;0,9;1,5;5,7
Brood, geroosterd;370,0;1553,0;11,0;13,5;68,0;14,5;4,0;1,0;0,9;1,5;0,0;2,5
Brood, meergranen;262,0;1099,0;35,2;9,5;45,0;2,0;3,4;1,2;1,2;1,0;1,0;5,9
Brood, rogge, donker;198,0;833,0;47,0;5,5;36,0;12,5;1,5;0,2;0,5;0,6;1,0;9,0
Brood, rogge, gem.;242,0;1016,0;39,8;6,2;44,5;4,0;3,0;1,0;0,8;1,1;1,0;5,5
Brood, rozijnen;273,0;1144,0;35,4;6,8;49,0;10,6;4,6;2,1;1,6;0,4;28,0;3,2
Brood, tarwe;266,0;1117,0;34,3;8,2;48,8;2,4;3,0;1,2;0,9;0,9;1,5;4,7
Brood, tarwe/rogge;220,0;922,0;43,7;6,7;41,5;2,0;1,6;0,3;0,4;0,8;0,0;5,5
